[000:00:00;567] >>
[000:00:08;808] >>> TONIGHT, THE GROWING
[000:00:09;342] >>> TONIGHT, SEVERAL BREAKING
[000:00:10;176] STORIES AS WE COME ON THE AIR IN
[000:00:10;910] THE WEST.
[000:00:13;246] THE GROWING FIRESTORM.
[000:00:14;581] PRESIDENT TRUMP VERSUS THE NFL.
[000:00:15;215] GROWING BACKLASH TO THE
[000:00:16;149] PRESIDENT'S ANGRY WORDS ABOUT
[000:00:19;285] ATHLETES WHO PROTEST DURING THE
[000:00:19;953] NATIONAL ANTHEM.
[000:00:20;320] >> GET THAT SON OF A [ BLEEP ]
[000:00:21;254] OFF THE FIELD.
[000:00:22;822] >> FROM PATRIOTS OWNER BOB
[000:00:23;390] KRAFT, QUARTERBACK TOM BRADY TO
[000:00:25;291] LeBRON JAMES, ON LIVE TV TODAY.
[000:00:27;027] PLAYERS LOCKING ARMS ACROSS THE
[000:00:28;828] COUNTRY.
[000:00:29;129] TENSIONS BOILING OVER AMONG
[000:00:29;696] FANS.
[000:00:32;766] AND TONIGHT, THE WHITE HOUSE IS
[000:00:33;400] ASKED, WITH NORTH KOREA, WITH
[000:00:34;934] HEALTH CARE, WITH THE EMERGENCY
[000:00:36;903] IN PUERTO RICO, WHY THIS?
[000:00:37;437] WHY NOW?
[000:00:40;040] >>> ALL OF THIS AS THE GOVERNOR
[000:00:41;074] OF PUERTO RICO SAYS THEY ARE
[000:00:43;143] DEALING WITH A HUMANITARIAN
[000:00:45;245] DISASTER, THAT THEY NEED HELP.
[000:00:47;847] >>> ALSO BREAKING AT THIS HOUR,
[000:00:50;216] CHAOS AND ARRESTS ON THE HILL.
[000:00:52;252] PROTESTERS WORRIED ABOUT LOSING
[000:00:52;886] THEIR HEALTH INSURANCE HAULED
[000:00:53;486] OFF.
[000:00:54;521] AND THE HEADLINE AS WE COME ON
[000:00:55;989] THE AIR TONIGHT.
[000:00:57;090] ONE REPUBLIC SENATOR WHO WAS ON
[000:00:58;758] THE FENCE NOW ANNOUNCING HER
[000:01:00;293] DECISION.
[000:01:00;560] IS THE PLAN DEAD?
[000:01:02;829] >>> AND SMOKE SUDDENLY FILLING
[000:01:04;898] THE CABIN TODAY.
[000:01:05;432] PASSENGERS MAKING A QUICK
[000:01:09;269] ESCAPE.
[000:01:12;238] >>> GOOD EVENING.
[000:01:13;206] AND IT'S GREAT TO HAVE YOU WITH
[000:01:16;943] US HERE ON A MONDAY NIGHT.
[000:01:17;844] AND WE BEGIN WITH PRESIDENT
[000:01:18;411] TRUMP, HIS WORDS ABOUT SOME
[000:01:18;978] PLAYERS AND THE NFL, AND THE
[000:01:20;947] BACKLASH, DIVIDING FANS.
[000:01:21;448] AND LEADING TO PLAYERS AND TEAM
[000:01:22;916] OWNERS, SOME OF WHOM SUPPORTED
[000:01:25;251] THE PRESIDENT, TO NOW BREAK
[000:01:25;819] RANKS WITH HIM ON THIS ISSUE.
[000:01:28;888] TEAMS ACROSS THE COUNTRY THIS
[000:01:29;489] WEEKEND SHOWING SOLIDARITY, SO
[000:01:30;323] MANY LOCKED ARM IN ARM.
[000:01:33;259] PATRIOTS QUARTERBACK TOM BRADY,
[000:01:33;893] A FRIEND OF PRESIDENT TRUMP,
[000:01:35;061] SPEAKING OUT TODAY, CALLING THE
[000:01:37;297] PRESIDENT'S REMARKS DIVISIVE.
[000:01:38;098] THE STEELERS PLAYER WHO STOOD
[000:01:39;732] ALONE, HIS TEAM IN THE LOCKER
[000:01:41;067] ROOM.
[000:01:42;268] BUT A SHORT TIME AGO, NOW
[000:01:43;303] APOLOGIZING, HE SAYS, FOR
[000:01:44;871] INADVERTENTLY MAKING HIS TEAM
[000:01:45;472] LOOK BAD.
[000:01:47;474] AND AS I MENTIONED, THE WHITE
[000:01:51;277] HOUSE WAS ASKED, WITH SO
[000:01:52;812] MUCH AT STAKE ALREADY, WITH
[000:01:54;414] NORTH KOREA, HEALTH CARE, WHY
[000:01:55;415] DID THE PRESIDENT TARGET THIS?
[000:01:56;015] ABC'S SENIOR WHITE HOUSE
[000:01:57;250] CORRESPONDENT CECILIA VEGA
[000:01:59;018] LEADING US OFF.
[000:01:59;586] >> Reporter: TONIGHT, PRESIDENT
[000:02:02;188] TRUMP DEFIANT AND UNAPOLOGETIC
[000:02:03;723] ABOUT SPARKING A NATIONAL
[000:02:06;860] >> WOULDN'T YOU LOVE TO SEE ONE
[000:02:09;462] OF THESE NFL OWNERS, WHEN
[000:02:11;564] SOMEBODY DISRESPECTS OUR FLAG,
[000:02:12;565] TO SAY, GET THAT SON OF A
[000:02:14;134] [ BLEEP ] OFF THE FIELD RIGHT
[000:02:14;734] NOW, OUT.
[000:02:15;201] HE'S FIRED.
[000:02:17;003] HE'S FIRED.
[000:02:20;874] >> Reporter: AN ADMINISTRATION
[000:02:21;508] SOURCE TELLS ABC NEWS THE
[000:02:22;041] PRESIDENT HAD EVERY INTENTION OF
[000:02:25;078] MENTIONING THE NFL BEFORE A
[000:02:28;181] PACKED HOUSE IN ALABAMA, BUT HE
[000:02:28;815] ALSO WENT WAY BEYOND WHAT WAS
[000:02:29;415] WRITTEN IN THAT SPEECH.
[000:02:33;286] ATTACKING PLAYERS LIKE FORMER
[000:02:34;988] SAN FRANCISCO 49ers QUARTERBACK
[000:02:37;290] COLIN KAEPERNICK, WHO TOOK A
[000:02:37;891] KNEE DURING THE NATIONAL ANTHEM,
[000:02:40;226] A SILENT PROTEST AGAINST POLICE
[000:02:40;860] BRUTALITY AND RACIAL INJUSTICE.
[000:02:42;729] >> IF YOU SEE IT, EVEN IF IT'S
[000:02:43;363] ONE PLAYER, LEAVE THE STADIUM.
[000:02:44;797] >> Reporter: THE REACTION
