[000:00:00;583] THAT PLANE?
[000:00:01;284] >> I'LL NOW WAITING FOR THE
[000:00:03;787] VIDEO FROM THE PASSENGERS TAKEN
[000:00:08;692] >>> TONIGHT, BREAKING NEWS, THE
[000:00:12;195] AS WE COME ON THE AIR IN THE
[000:00:13;930] WEST.
[000:00:14;130] THE U.S. BRACING FOR A
[000:00:15;832] HURRICANE.
[000:00:16;232] MANDATORY EVACUATIONS.
[000:00:18;702] HURRICANE WARNINGS IN EFFECT
[000:00:19;536] RIGHT NOW.
[000:00:20;303] STATES OF EMERGENCY ACROSS
[000:00:22;472] SEVERAL L SEVERAL STATES.
[000:00:23;907] NATE DEADLY TAKING AIM AT THE
[000:00:26;609] GULF TONIGHT.
[000:00:27;077] THE STORM MOVING RIGHT UP
[000:00:28;445] THROUGH THE NORTHEAST.
[000:00:30;947] ALSO, BREAKING FROM LAS VEGAS
[000:00:31;614] TONIGHT.
[000:00:32;115] WHAT POLICE HAVE JUST REVEALED
[000:00:33;850] ABOUT THE SECURITY GUARD WHO
[000:00:34;451] APPROACHED THAT DOOR.
[000:00:37;454] WHAT LED HIM THERE IN THE FIRST
[000:00:38;888] PLACE AND WHAT WAS WRITTEN ON
[000:00:39;522] THE GUNMAN'S NOTE.
[000:00:43;126] PRESIDENT TRUMP SUDDENLY
[000:00:44;194] SUMMONING REPORTERS TELLING THEM
[000:00:46;563] THEY'RE WITNESSING THE CALM
[000:00:47;130] BEFORE THE STORM.
[000:00:51;801] OUR REPORTER ASKS THE WHITE
[000:00:52;836] HOUSE TONIGHT -- WHAT IS HE
[000:00:53;403] TALKING ABOUT?
[000:00:53;870] >>> A FAMOUS DALLAS COWBOYS STAR
[000:00:54;504] AND HIS SON.
[000:00:55;939] TONIGHT, A CAMPUS FRATERNITY
[000:00:58;575] ACCUSED OF HAZING HIM DESCRIBED
[000:00:59;209] AS A FIGHT CLUB.
[000:01:00;110] >>> IN NEW YORK CITY,
[000:01:01;678] AUTHORITIES SAY IT WAS AN
[000:01:03;246] ALLEGED TERROR PLOT.
[000:01:05;849] POLICE SAY THE PLANS FOR TIMES
[000:01:06;483] SQUARE AND THE NEW YORK CITY
[000:01:07;083] SUBWAY.
[000:01:08;952] >>> AND KEITH URBAN.
[000:01:10;520] THE MOMENT THAT MOVED SO MANY,
[000:01:12;622] AS WE HONOR THE FACES.
[000:01:19;395] GOOD EVENING AND IT IS GREAT TO
[000:01:20;396] HAVE YOU WITH US ON A FRIDAY
[000:01:20;997] NIGHT.
[000:01:22;465] WE ARE A HURRICANE WEARY NATION
[000:01:24;601] AND YET TONIGHT ANOTHER POWERFUL
[000:01:26;136] STORM HEADED FOR THE U.S.
[000:01:29;906] AT THIS HOUR NATE IS SPEEDING UP
[000:01:30;540] AND GAINING STRENGTH.
[000:01:31;841] RIGHT NOW HEADING INTO THE WARM
[000:01:32;475] WATERS OF THE GULF.
[000:01:34;444] STATES OF EMERGENCY ACROSS THE
[000:01:35;078] GULF.
[000:01:36;613] THE SYSTEM DEADLY BEFORE
[000:01:37;647] ARRIVING.
[000:01:40;650] 22 LIVES LOST.
[000:01:40;984] PREPARATIONS UNDER WAY AT THIS
[000:01:42;852] HOUR AND THERE ARE NOW SOME
[000:01:44;921] MANDATORY EVACUATIONS UNDER WAY.
[000:01:47;023] LET'S GET TO GINGER ZEE WITH US
[000:01:47;657] TONIGHT BECAUSE THIS WILL NOT
[000:01:49;092] ONLY HIT THE GULF BUT WILL
[000:01:51;161] TRAVEL THROUGH THE COUNTRY.
[000:01:51;728] >> UP THROUGH THE NORTHEAST.
[000:01:53;296] WE HAVE GOT TO WATCH FOR FLASH
[000:01:54;831] FLOODING ALL THE WAY THROUGH
[000:01:55;431] PENNSYLVANIA.
[000:01:56;900] LET ME TAKE YOU STRAIGHT TO THE
[000:01:59;536] MAP BECAUSE THE PENINSULA IS
[000:02:01;070] SHOWING THE STORM EAST.
[000:02:03;139] FLYING AT 21 MILES PER HOUR.
[000:02:04;207] TO THE NORTH, NORTHWEST.
[000:02:05;742] HURRICANE WARNING IN PLACEOR F
[000:02:08;344] NEW ORLEANS, GULF PORT, BILOXI
[000:02:10;413] MOBILE, TROPICAL WARNINGS
[000:02:12;515] EXTENDING TO INLAND THERE.
[000:02:14;050] THE BRUNT WILL BE FELT SATURDAY
[000:02:15;685] NIGHT THROUGH SUNDAY MORNING.
[000:02:18;755] THAT'S WHEN IT IS GOING TO MAKE
[000:02:19;389] LANDFALL AND SPEEDS UP THROUGH
[000:02:20;323] THE OHIO VALLEY INTO THE
[000:02:22;892] NORTHEAST AND OUT BY TUESDAY.
[000:02:24;460] BUT BEFORE THAT, THE IMPACT
[000:02:25;528] STORM SURGE, FOUR TO SIX FEET.
[000:02:28;097] ANYWHERE IN RED, THE BAY, GULF
[000:02:28;731] SHORES UP TO EIGHT FEET AND TEN
[000:02:31;234] INCHES OF RAIN.
[000:02:31;601] ALONG THE GULF COAST.
[000:02:32;769] >> TRACKING IT INTO THE WEEKEND.
[000:02:33;870] THANK YOU.
[000:02:35;905] IN THE CROSSHAIRS OF THIS STORM
[000:02:36;973] NEW ORLEANS AND THE LOW LYING
[000:02:39;042] CITIES ALONG THE GULF DANGEROUS
[000:02:41;177] FLOODING AND STORM SURGE IS
[000:02:42;679] LIKELY AND THIS QUESTION
[000:02:43;680] TONIGHT.
[000:02:44;747] ARE THE PUMPS READY IN NEW
[000:02:47;851] ORLEANS?
[000:02:48;084] ABC'S STEVE OSUNSAMI IS THERE.
[000:02:49;953] >> Reporter: ACROSS THE GULF
[000:02:51;487] TONIGHT, THIS IS THE STATE OF
[000:02:53;056] EMERGENCY AND THEY'RE RACING TO
[000:02:54;657] GET READY FOR THIS STORM.
[000:02:55;658] >> WE'RE GOING TO FLOOD.
[000:02:56;726] I KNOW WE'RE GOING TO FLOOD.
[000:02:57;293] THAT'S WHY I'M HERE.
[000:03:00;864] OTHERWISE I WOULD STILL BE AT
[000:03:01;464] THE OFFICE RIGHT NOW.
[000:03:01;931] >> IN NEW ORLEANS A DOZEN OF THE
[000:03:04;000] CITY'S DRAINAGE PUMPS AREN'T
[000:03:06;603] WORKING.
[000:03:11;374] THAT THEY NEED TO KEEP THE CITY
[000:03:12;275] DRY.
[000:03:13;943] TEAMS ARE CLEARING DRAINS AND
[000:03:14;544] PARTS OF JEFFERSON PARISHES,
[000:03:18;481] NEW ORLEANS AND ST. BERNARD,
[000:03:19;782] MORE THAN 1,000 FAMILIES FORCED
[000:03:20;617] TO LEAVE THEIR HOMES.
[000:03:21;150] >> ONE OF THE GREATEST THREATS
[000:03:21;784] TO THIS STORM IS NOT NECESSARILY
[000:03:23;219] INTERIOR RAIN, BUT STORM SURGE.
[000:03:24;754] >> Reporter: BILLY ROST IS
[000:03:25;822] LEAVING TONIGHT.
[000:03:26;823] HE'S MOVED EVERYTHING OFF THE
[000:03:27;423] GROUND.
[000:03:28;424] >> YOU DON'T KNOW WHAT THE SURGE
[000:03:29;058] IS GOING TO DO.
[000:03:31;561] IF YOU DON'T PICK IT UP YOU LOSE
[000:03:32;195] IT.
[000:03:32;562] THIS IS LIKE A GAMBLE.
[000:03:34;197] >> Reporter: THREE FEET OF STORM
[000:03:34;831] SURGE AND HE'S FINE.
[000:03:35;698] SIX FEET, HE LOSES EVERYTHING.
[000:03:38;801] HE'S EXPECTING FIVE.
[000:03:39;869] >> YOU CAN ONLY DO SO MUCH.
[000:03:41;404] YOU CAN'T RUN FROM WATER, BABY.
[000:03:43;773] >> Reporter: THE STORM HAS
[000:03:47;143] ALREADY KILLED.
[000:03:47;510] AT LEAST 11 DEAD IN NICARAGUA,
[000:03:48;144] AND EIGHT IN COSTA RICA.
[000:03:48;645] DOZENS MORE MISSING AFTER
[000:03:51;881] MUDSLIDES WASHED AWAY HOMES
[000:03:53;383] >> AND STEVE JOINS US LIVE
[000:03:53;950] TONIGHT.
[000:03:55;985] STEVE, YOU WERE TELLING US THOSE
[000:03:56;619] PUMPS CAN PULL OUT AN INCH OF
[000:03:57;553] RAIN IN AN HOUR?
[000:04:02;258] >> Reporter: YES.
[000:04:02;759] BUT THAT'S JUST DURING THE FIRST
[000:04:03;393] HOUR.
[000:04:04;694] AFTER THAT, THE ABILITY OF A
[000:04:07;997] PUMPING STATION DROPS TO ABOUT
[000:04:09;499] HALF AN INCH AN HOUR ASSUMING
[000:04:11;567] ALL THE PUMPS ARE WORKING WHICH
[000:04:13;136] WOULD SURPRISE JUST ABOUT
[000:04:13;670] EVERYONE IN THE CITY.
[000:04:15;738] WHAT THAT MEANS IS THAT IF
[000:04:17;807] SEVERAL INCHES OF RAIN FALL OVER
[000:04:20;677] NEW ORLEANS ALL AT ONCE, THIS
[000:04:23;579] CITY WILL STILL FLOOD EVEN WITH
[000:04:24;213] ALL OF THE PUMPS WORKING
[000:04:24;747] PROPERLY.
[000:04:25;648] >> WE ARE THINKING ABOUT THAT
[000:04:26;683] CITY AND EVERY CITY ALONG THE
[000:04:27;283] GULF.
[000:04:27;717] THANK YOU.
[000:04:29;819] >>> WE MOVE ON TO OTHER
[000:04:30;853] HEADLINES AT THIS HOUR AND FROM
[000:04:32;422] LAS VEGAS NEW DEVELOPMENTS.
[000:04:34;490] WHAT DREW THAT HOTEL SECURITY
[000:04:36;025] GUARD TO THE HOTEL ROOM IN THE
[000:04:38;127] FIRST PLACE AND EVEN THOUGH HE
[000:04:40;229] WAS SHOT THROUGH THE DOOR WAS HE
[000:04:40;863] THE ONE WHO STOPPED MORE
[000:04:41;397] BLOODSHED?
[000:04:45;902] MATT GUTMAN FROM LAS VEGAS
[000:04:46;469] TONIGHT.
[000:04:48;504] >> Reporter: FIVE DAYS AFTER THE
[000:04:49;539] WORST MASS SHOOTING IN AMERICAN
[000:04:50;173] HISTORY, LAS VEGAS POLICE
[000:04:53;176] ACKNOWLEDGING THEY STILL DON'T
[000:04:55;778] KNOW WHAT DROVE STEPHEN PADDOCK
[000:04:56;813] TO OPEN FIRE ON THAT HELPLESS
[000:04:57;413] CROWD.
[000:04:58;915] >> I GET IT.
[000:04:59;949] WE ALL WANT ANSWERS.
[000:05:03;586] WE HAVE LOOKED AT EVERYTHING.
[000:05:06;723] >> Reporter: BUT TONIGHT WE ARE
[000:05:07;857] LEARNING THAT HERO SECURITY
[000:05:08;424] GUARD JESUS CAMPOS MAY HAVE
[000:05:09;892] PREVENTED FURTHER BLOODSHED.
[000:05:11;928] POLICE SAY PADDOCK HAD BEEN
[000:05:13;496] SHOOTING WHEN CAMPOS ARRIVED ON
[000:05:14;530] THE 32nd FLOOR RESPONDING TO A
[000:05:15;164] DOOR ALARM.
[000:05:16;666] >> WE BELIEVE HE WAS SHOOTING
[000:05:18;668] INTO THE CROWD, AND THEN THE
[000:05:20;770] SECURITY GUARD WAS SHOT DURING
[000:05:21;404] THAT EVENT.
[000:05:21;804] >> Reporter: TONIGHT WE ARE
[000:05:23;406] LEARNING MORE ABOUT THE FRANTIC
[000:05:24;040] EFFORTS TO SAVE THE VICTIMS.
[000:05:27;043] 48-YEAR-OLD DOUG CARTER WAS
[000:05:28;044] ATTENDING THE CONCERT WITH HIS
[000:05:28;678] WIFE AND SON.
[000:05:32;715] BUT THEY BECAME SEPARATED IN THE
[000:05:33;349] CHAOS.
[000:05:34;784] YOU SEE DOUG HERE DAZED AND
[000:05:36;886] STAGGERING, A BULLET IN HIS ARM.
